# RU	ING
Давно тому назад, в городе Тифлизе , жил один богатый турок	Озиева Дуккха ха хьалха, ГуржеМа — цхьа в1аьхи турке вахаш хиннав.
много аллах дал ему золота	Дукха дошув деннадар цунна дала, цхьабакъда, дошол а езаг1а яр цун ший ца1 мара йоаца йо1, Магуль-Мегери.
но дороже золота была ему единственная дочь Магуль-Мегери: хороши звёзды на небеси	Дика да сигалара седкъий, цхъабакъда, цу седкъашта т1ехьашкахьа малайкат дах; уж кхы а дикага да; иштта Магуль-Мегери а яр Гуржег1а мел йолча ЙоГал дикагМа.
но за звёздами живут ангелы	Цу Гуржег1а вар къе а волаш Ашик-Кериб яхаш цхьа саг.
и они ещё лучше	Пайхамара х1амма а деннадацар цунна, сакъердаме доги дика илли ала хари мара.
так и Магуль-Мегери была лучше всех девушек Тифлиза.	Сааз*) а локхаш, Туркестана хьалхара (къаьнара) т1ема" лоа еБ : : ‹ НИЖНОЕ ИЗДАТЕЛ1
Был также в Тифлизе бедный Ашик-Кериб	ЧЕЧЕНО-ИНГУШ СКОЕ 1\1{358 * Сааз — дахчан пандар (
пророк не дал ему ничего кроме высокого сердца и дара песен	хой хеста а беш, ловзарашка ухар из, б1аьхи а ираз долаш а болча нахага ° сакъердийта.
играя на саазе (балалайка турецкая) и прославляя древних витязей Туркестана, ходил он по свадьбам увеселять богатых и счастливых	Цхьан ловзарга б1аргаяйра цунна Магуль-Мегери, в1аши дукха а дезаделар уж.
на одной свадьбе он увидал Магуль-Мегери, и они полюбили друг друга.	КТезига догдоахилга яр къёча Ашик-Кериба из шийна йоалаярга, цудухьа ан сигале санна маьлхара вар из.
Мало было надежды у бедного Ашик-Кериба получить её руку – и он стал грустен, как зимнее небо.	Цкъа беша комсашта кТал вижа уллар из, эггара т1ехьа а цигга тхьайсар.
Вот раз он лежал в саду под виноградником и наконец заснул	Цу ханна, цунна улув голла т1ехйоалаш латтар Магуль-Мегери ший новкъосташца, т1аккха — царех ца1, тхьайса улла ашик
в это время шла мимо Магуль-Мегери с своими подругами	„ана улл хьо комсий беша к1ал 10 а вижаь на еш,— аьнна, йиш лекхар цо, — хьалгТатта
и одна из них, увидав спящего ашика (балалаечник), отстала и подошла к нему: «Что ты спишь под виноградником, запела она, вставай, безумный, твоя газель идёт мимо»	Говдал, хьа езарг йода хьона улув г1олла д11а“.
он проснулся – девушка порхнула прочь, как птичка;	Из сомаваьлар, йо1 з1амига оалхазарг санна даийккхар.
Магуль-Мегери слышала её песню и стала её бранить: «Если б ты знала, – отвечала та, – кому я пела эту песню	д1абахар * А шик — пандар локха саг (Лермц›нтова.примечаии).
ты бы меня поблагодарила: это твой Ашик-Кериб». – «Веди меня к нему», – сказала Магуль-Мегери.	Цун г1аймане юхь шийна таь, з11амигача йЙишийна барт а баьккха, б1аргаяйча
И они пошли.	Магуль-Мегери цунга хатта- т1орми кач а элла, г[адж бе а елла Гурраш де а, цунна сатем бе а йолаелар.— — / жег1ара араваьлар из.
Увидав его печальное лицо, Магуль-Мегери стала его спрашивать и утешать.	Говраца цхьа саг: „ГТайг1а мишта ергьяц аз,— аьнна, жЖоп т1ехьакхийр цунна
«Как мне не грустить, – отвечал Ашик-Кериб, – я тебя люблю – и ты никогда не будешь моею».	д1ахьежача: из Курделар Ашик-Кериба, — хьо сона дукха а шуд-бек ‘вар.— „Никъ дика хилба хьа1— йийзача
«Хорошо, – отвечал он, – положим	щШаккха а хьо йоалае са Йиш а аьнна
Аяк-Ага ничего не пожалеет для своей дочери	щЮюг11а техар цунга бека.— Хьо ца хилча“.—-Еха 1а со са даьгара,— миччахьа воде а
но кто знает, что после ты не будешь меня упрекать в том, что я ничего не имел и тебе всем обязан	наькъЪахо
нет, милая Магуль-Мегери	со хьа йоахар йо1о,— са дас ший чотах вайна новкъост ва-кха“— Раьза вацар Ашик хьоалчаг11а а дергда
я положил зарок на свою душу	кхы вайна эшар а шийх кхийттача новкъоста
обещаюсь семь лет странствовать по свету и нажить себе богатство либо погибнуть в дальних пустынях	х1аьта а де лургда
если ты согласна на это, то по истечении срока будешь моею».	х1аьта сона вай шиннена а тоъал хама дацар.
Она согласилась, но прибавила, что если в назначенный день он не вернется, то она сделается женою Куршуд-бека , который давно уж за неё сватается.	Дукха ихар уж новкъа ахча а лурГДа.—„ДикаНД‚—НЬЛЗР НО цхьн; эггара т1ехьа а цхьан хина т1аАякх-Аг1айна-м в1алла дукха ма хеталда кхаьчар уж.
Пришёл Ашик-Кериб к своей матери	Т1йй а дацар, гечув а дацар. ший йО1а лур, ше мелла лойя а
взял на дорогу её благословение, поцеловал маленькую сестру, повесил через плечо сумку, оперся на посох странничий и вышел из города Тифлиза.	хТаьта „Наьк деш д1адехьавала хьо хьалхаа хьанна хов, т1ехьаг1а 1а т[ахдеттий а, г1а, — аьлар — Курщуд-бека, — со — хьона цхьаккха х1ама дацар хьа, доллача х1а- т1ехьа — воаг1аргва“.
